"";"Author";"Comment";"Time";"NumberOfVotes";"Rate.Positive";"Rate.Negative";"Author.Parent";"NumberOfResponses";"LinkToResponses"
"1";"~ina";"DowÛd na nieistnienie ?  No sorry, z logikπ ci ca≥kiem na bakier. Albo dowÛd, albo wiara.  RÛwnie dobrze mozna øadπÊ dowodu na nieistnienie latajπcego potwora spaghetti. A poza tym ja nie kwestionuje twojej wiary, jedni wierzπ w zycie pozagrobowe i to ich uspokaja albo przeraøa, inni nie - i teø sa spokojni. W koÒcu nie istnieliúmy przez 17 mld lat przed swymi urodzinami, wiÍc moøemy tak samo nie istnieÊ kolejne miliardy lat.  Dlaczego uwaøasz to za jakies ukryte frustracje, to zupe≥nie nie moge pojπÊ. Moøe projektujesz swoje uczucia na innych ?";"dzisiaj†22:02";"Liczba g≥osÛw:0";"0%";"0%";"~Andy190:";NA;NA
"2";"~Kowalski";"Nie ma to jak skandowanie: Tusk, Tusk, Tusk,......";"wczoraj†22:18";"Liczba g≥osÛw:0";"0%";"0%";"~ubu:";NA;NA
"3";"~JMJ";"A ty masz pojecie gdzie w latach 70 koÒczono elektryfikacjÍ ? Ty teø by≥aú przez PRL przeúladowana ?";"wczoraj†10:02";"Liczba g≥osÛw:0";"0%";"0%";"~Ola:";NA;NA
"4";"~alo :";"Lekarze za jeden dyøur majπ wiÍcej niø reszta pracownikÛw za miesiπc. Mogπ mieÊ ale w swojej przychodni a nie w paÒstwowym szpitalu.";"wczoraj†09:48";"Liczba g≥osÛw:0";"0%";"0%";NA;NA;NA
"5";"~wielkopolanin";"To sobie obejrzyj na Tube wywiad z Johnem Perkinsem - ktÛry bra≥ osobiúcie udzia≥ w w amerykaÒskim sposobie wprowadzania "" demokracji"". "" 3 sposoby USA na obalenie dyktatury "" - wyznanie specjalisty od "" brudnej roboty""";"wczoraj†09:31";"Liczba g≥osÛw:1";"100%";"0%";"~Pierrnick:";"100%";"#mark"
"6";"~rs";"Bo po pierwsze paÒstwo ich okrada i wiÍkszoúÊ nie ma kasy a po drugie nikt ich nie uúwiadamia a raczej trzyma specjalnie w nieúwiadomoúci øeby im siÍ wydawa≥o øe majπ ""bezp≥atnπ s≥uøbÍ zdrowia""";"wczoraj†08:51";"Liczba g≥osÛw:0";"0%";"0%";"~kaz:";NA;NA
"7";"~Ola";"Poczytaj sobie. Sk≥adaÊ literki chyba podtrawisz. Zajrzyj do encyklopedii albo historii elektryfikacji w PRL.Pozdrawiam";"wczoraj†08:44";"Liczba g≥osÛw:0";"0%";"0%";"~JMJ:";"odpowiedzi: 1";"/forum/b-szydlo-proponuje-likwidacje-nfz-w-sluzbie-zdrowi,0,1671450,170608321,czytaj.html"
"8";"~mordotymoja";"Jestem ateistπ. G≥upio ci prostaku???";"wczoraj†08:00";"Liczba g≥osÛw:0";"0%";"0%";"~Ola:";NA;NA
"9";"~Simon";"ty powinieneú p≥aciÊ za to, øe ja nie mam dzieci";"wczoraj†06:10";"Liczba g≥osÛw:0";"0%";"0%";"~taki:";NA;NA
"10";"~Simon";"podaj nazwisko tego lekarza od czterech nÛg";"wczoraj†06:09";"Liczba g≥osÛw:0";"0%";"0%";"~taki:";NA;NA
