"";"Author";"Comment";"Time";"NumberOfVotes";"Rate.Positive";"Rate.Negative";"Author.Parent";"NumberOfResponses";"LinkToResponses"
"1";"~tutejszy :";"Trzeba braÊ przyk≥ad z CzechÛw ,tam cyganie pracujπ ,uczπ siÍ i uwaøajπ øe jest im ok.Czujπ siÍ obywatelami paÒstwa i przestrzegajπ jego praw.";"dzisiaj†15:34";"Liczba g≥osÛw:0";"0%";"0%";NA;NA;NA
"2";"~RomsRom";"kolego wsta≥eú juø? :) ale niez≥y melanø.... baba z øebractwa wrÛci≥a o 2 w nocy :) niez≥y burdel zasta≥π, ale dobrze øe whisky i kebaba przynios≥a, trochÍ siÍ spÛüni≥a bo do wp≥atomatu 3 tysie musia≥a wrzuciÊ";"dzisiaj†13:35";"Liczba g≥osÛw:0";"0%";"0%";"~RomsRom:";NA;NA
"3";"~mfhhe";"`¥Nie rob komus dobrze to nie bedzie tobie zle¥ stare dobre przyslowie.";"dzisiaj†12:49";"Liczba g≥osÛw:0";"0%";"0%";"~z Polski:";NA;NA
"4";"~z Polski";"Dlaczego miasto pozwala≥o im tam tak d≥ugo koczowaÊ? Czy nie by≥o proúciej zaraz w pierwszych dniach zabroniÊ? Dobre serce prezydenta czy moøe obawa o nieprzyjemnoúci? To nie winni sπ Ci Romowie tylko administracja miasta.Teø nie chcia≥bym mieÊ takich sπsiadÛw,ale tych ludzi nie moøna wys≥aÊ na "" ksiÍøyc"". PamiÍtam czasy jak taborami przyjeødøali i po dwÛch dniach jechali dalej.Ludzie teø nie byli szczÍúliwi bo obawiali siÍ kradzieøy i s≥usznie ale wtedy nie by≥o jeszcze pomocy spo≥ecznej. Ciekaw jestem czy Ci z Wroc≥awia majπ polskie obywatelstwo? Jeøeli tak to paÒstwo jest zobowiπzane siÍ o nich zatroszczyÊ.Dlaczego takich problemÛw nie by≥o za komuny? W kaødym razie ja sobie czegoú takiego nie przypominam.";"dzisiaj†12:44";"Liczba g≥osÛw:0";"0%";"0%";"~mfhhe:";"odpowiedzi: 1";"/forum/stowarzyszenie-ktore-broni-romow-odpowiada-na-oswi,0,1672528,170694387,czytaj.html"
"5";"~mfhhe";"Nie stawiaj znaku rownosci pomiedzy zyciem cyganow a innych nacji,obojetnie w jakim kraju zyjesz, jesli sa rodzice zatrudnieni przez pomoc spoleczna do wychowywania i ksztalcenia swoich dzieci,musza sie wywiazywac ze swoich obowiazkow.Niewywiazywanie lub uchylanie sie od tego, grozi wykluczeniem ze spoleczenstwa rowniez z pomocy finansowej.Cyganie musza to zrozumiec, zloty wiek dla nich minal nie chcemy zyc tak jak oni,i nie pozwalamy na degradacje naszego srodowiska,a co najwazniejsze,my placimy dlatego my mamy prawo zadac,pracy za place (pomoc socjalna) i,zaplaty za to, co wszyscy musimy placic.Efekty innych nacji korzystania z pomocy socjalnej sa zauwazalne juz po 1 jednym pokoleniu ,u cyganow efektow nie ma nawet po 10 dziesieciu pokoleniach, pech ? czy zamierzone dzialanie ? Nie posadzaj innych o atakowanie bezbronnych,bo tak nie jest.";"dzisiaj†12:29";"Liczba g≥osÛw:0";"0%";"0%";"~z Polski:";"odpowiedzi: 2";"/forum/stowarzyszenie-ktore-broni-romow-odpowiada-na-oswi,0,1672528,170693500,czytaj.html"
"6";"~z Polski";"Chodzi≥o mi o to,øe teø gdzieú pojecha≥eú i korzysta≥eú z pomocy. Teraz chcesz aby takiej pomocy nie udzielano innym?Przyjmijmy,øe mieszkasz w Anglii (?) i Twoje dziecko idzie do szko≥y. Czy rodzice innych dzieci bÍdπ protestowali z tego powodu,øe rodzicem tego dziecka jest Polak? NIE! Jak wyglπda sytuacja z romskim dzieckiem pos≥anym do szko≥y w Polsce? Zaraz protesty bo ""moje"" dziecko nie bÍdzie z cyganem do tej samej klasy chodzi≥o. Nie broniÍ RomÛw ani nie ganiÍ PolakÛw za granicπ, ale proszÍ tylko aby przed ferowaniem ""wyrokÛw"" sprawÍ przemyúleÊ.Mam rodzinÍ na zachodzie,ktÛrzy wyjechali w 80 latach. Dostali zapomogi, pomoc w kszta≥ceniu i wiele innych a teraz sπ oburzeni,øe majπ jakimú imigrantom pomagaÊ.";"dzisiaj†09:58";"Liczba g≥osÛw:0";"0%";"0%";"~mfhhe:";"odpowiedzi: 3";"/forum/stowarzyszenie-ktore-broni-romow-odpowiada-na-oswi,0,1672528,170683147,czytaj.html"
"7";"~mfhhe";"Rozsmieszyles mnie tym pytaniem,Polak nie mieszkajacy w Polsce ma mniejsze prawo do swojej wypowiedzi niz ten ktory tam mieszka? tez mo cos, interesujacy sposob na zamykanie buzi niewygodnym.. - do ktorej grupy naleza urlopowicze ?w tym twoim wy/rachowaniu,ma sie rozumiec cyganow to nie dotyczy, oni maja pelne prawo na calym swiecie,czy to chcesz mi zasugerowac? mogles napisac krotko,odwal sie' a nie zgrywac sie na wielce sprawiedliwego.";"dzisiaj†09:45";"Liczba g≥osÛw:0";"0%";"0%";"~z Polski:";"odpowiedzi: 4";"/forum/stowarzyszenie-ktore-broni-romow-odpowiada-na-oswi,0,1672528,170682178,czytaj.html"
"8";"~z Polski";"Nie odpowiedzia≥eú na pytanie skπd piszesz? Na pewno nie z Polski.WiÍc o co chodzi?";"dzisiaj†06:34";"Liczba g≥osÛw:0";"0%";"0%";"~mfhhe:";"odpowiedzi: 5";"/forum/stowarzyszenie-ktore-broni-romow-odpowiada-na-oswi,0,1672528,170674366,czytaj.html"
"9";"~krawiec damski";"Piszczyk nie pozwoli";"dzisiaj†01:14";"Liczba g≥osÛw:0";"0%";"0%";"~MISIO:";NA;NA
"10";"~woünica :";"Czemu cygany nie przyjadπ z pieniÍdzmi,nie wykupiπ mieszkania chociaøby socjalnego i nie øyjπ jak ludzie.";"wczoraj†22:52";"Liczba g≥osÛw:1";"100%";"0%";NA;"100%";"#mark"
