"";"Author";"Comment";"Time";"NumberOfVotes";"Rate.Positive";"Rate.Negative";"Author.Parent";"NumberOfResponses";"LinkToResponses"
"1";"~ccc";"Ty sobie poczytaj medyczne rzeczy jakie sπ szanse na zajúcie w ciπøe i ZDROWE dziecko po 35 roku øycia bo to co teraz robi spo≥eczeÒstwo jest g≥upie i nieodpowiedzialne i nied≥ugo u≥omnoúÊ to bÍdzie norma. I nie pisz øe masz koleøanki ktÛre sπ stare i majπ zdrowe dzieci bo to dobrze øe im siÍ uda≥o. Mia≥y wiele szczÍúcia.";"wczoraj†14:13";"Liczba g≥osÛw:1";"100%";"0%";"~Asia:";"100%";"#mark"
"2";"~c";"najpierw kariera i kasa a pÛüniej jak siÍ przypomni to dziecko i w kolejce po in vitro -bo inaczej siÍ nie da. I nie odpisuj mi ze jestem z PiSu bo mam gdzieú pis i koúciÛ≥ taka jest prawda o spo≥eczeÒstwie i priorytetach jakie teraz mamy. I to jest bardzo przykre.";"wczoraj†14:09";"Liczba g≥osÛw:1";"100%";"0%";"~pola:";"100%";"#mark"
"3";"~c :";"babcio-mamy i dziadko -ojcowie i tyle... moøecie hejtowaÊ mnie ile chcecie prawda w oczy kole";"wczoraj†14:07";"Liczba g≥osÛw:4";"25%";"75%";NA;"75%";"#mark"
"4";"~Mona";"Moja mama urodzi≥a mnie w wieku 27 lat, niestety zmar≥a , gdy ja mia≥am 24. Czasem i tacy, co wczeúniej siÍ postarali o dzieci, wczesniej teø odchodzπ. Na to nie ma metody. A moja sπsiadka wychowuje w≥asnie prawnuka i ca≥kiem dobrze sobie radzi.";"19†cze†14:58";"Liczba g≥osÛw:0";"0%";"0%";"~basia:";NA;NA
"5";"~ola";"ja nie narzekam, ale jeúli ktoú ma dopiero po 40 no przecieø nie pÛjdzie na zabieg tylko urodzi i jakoú bÍdzie :)";"3†lut†20:50";"Liczba g≥osÛw:0";"0%";"0%";"~ankak:";NA;NA
"6";"~HaHaHa";"moze ze mna tych krow nie paslas, ale twoj wpis potwierdza, ze dalej mieszkasz daleko od kultury I nauki.";"30†sty†20:36";"Liczba g≥osÛw:1";"0%";"100%";"~TEKLA:";"100%";"#mark"
"7";"~amen";"te katolickie úwiÍta π po to, by dawa≥y zysk i kwit≥ handel w kaødej dziedzinie";"30†sty†13:48";"Liczba g≥osÛw:1";"100%";"0%";"~Baca:";"100%";"#mark"
"8";"~wow! :";"Babcie rodza wnuki...";"30†sty†08:34";"Liczba g≥osÛw:9";"33%";"66%";NA;"66%";"#mark"
"9";"~barabasz :";"Jezuú Rysiu w co ty ubra≥eú dzieciaka. Wyglπdacie jak ekipa cyrkowa.";"30†sty†08:00";"Liczba g≥osÛw:1";"0%";"100%";NA;"100%";"#mark"
"10";"~Elith :";"Moj tata mial ponad czterdziesci lat gdy urodzilam sie ja. Jestem najmlodsza z calego rodzenstwa -reszta duzo starsza. Teraz mam te 20 lat i jestem w ciazy ale moj ojciec nie pozna wnukow bo zmarl kilka lat temu. Nagly atak. Moze ja bede miala wiecej szczescia i dozyje wlasnyc wnukow. P.S. Czekalam cale zycie na moje malenstwo i ciesze sie ze mialam mozliwosc zdecydowania sie na nie tak wczesnie bez ""mieszkania katem u rodzicow"" i ""zniszczona kariera zawodowa"".";"30†sty†07:53";"Liczba g≥osÛw:2";"50%";"50%";NA;"50%";"#mark"
